,speaker,text,token,target
88,JO,"Were_cWere three ungrateful wretches, who dont deserve you.","['were', 'cwere', 'three', 'ungrateful', 'wretches', 'who', 'dont', 'deserve', 'you']",0
89,AMY,"Well, I cant help it.","['well', 'i', 'cant', 'help', 'it']",0
90,JO,"Oh, its easy, if youll only watch me.","['oh', 'its', 'easy', 'if', 'youll', 'only', 'watch', 'me']",2
91,AMY,"If I can drop gracefully, Ill...

JO
Now, now.","['if', 'i', 'can', 'drop', 'gracefully', 'ill', 'jo', 'now', 'now']",2
92,JO,"Now, now.","['now', 'now']",2
93,AMY,Roderigo!,['roderigo'],2
94,MRS. MARCH,"Glad to find you so merry, my girls.","['glad', 'to', 'find', 'you', 'so', 'merry', 'my', 'girls']",4
95,AMY,Darling.,['darling'],2
96,MRS. MARCH,"Hows your cold, Meg?","['hows', 'your', 'cold', 'meg']",2
97,MEG,Much better.,"['much', 'better']",4
98,MRS. MARCH,Beth deary.,"['beth', 'deary']",2
99,JO,"No, Marmee.","['no', 'marmee']",0
100,BETH,Mmm.,['mmm'],2
101,MRS. MARCH,Oh.,['oh'],2
102,BETH,"Did you have a hard day, Marmee?","['did', 'you', 'have', 'a', 'hard', 'day', 'marmee']",2
103,MRS. MARCH,No.,['no'],0
104,BETH,A letter from father!,"['a', 'letter', 'from', 'father']",2
105,MRS. MARCH,"""Give them all my dear love and a kiss.","['give', 'them', 'all', 'my', 'dear', 'love', 'and', 'a', 'kiss']",4
106,AMY,"I_c.I am a selfish girl, but Ill truly try to be better and not 
waste my time in school, so that father maynt be disappointed in 
me.","['i', 'c', 'i', 'am', 'a', 'selfish', 'girl', 'but', 'ill', 'truly', 'try', 'to', 'be', 'better', 'and', 'not', 'waste', 'my', 'time', 'in', 'school', 'so', 'that', 'father', 'maynt', 'be', 'disappointed', 'in', 'me']",4
107,JO,"Ill try and be what he loves to call me, a little woman, and 
not be rough and wild; and do my duty here at home instead of 
always wanting to go to war to help father.","['ill', 'try', 'and', 'be', 'what', 'he', 'loves', 'to', 'call', 'me', 'a', 'little', 'woman', 'and', 'not', 'be', 'rough', 'and', 'wild', 'and', 'do', 'my', 'duty', 'here', 'at', 'home', 'instead', 'of', 'always', 'wanting', 'to', 'go', 'to', 'war', 'to', 'help', 'father']",4
108,MEG,"Im_c Im not going to be envious anymore, if I can help it.","['im', 'c', 'im', 'not', 'going', 'to', 'be', 'envious', 'anymore', 'if', 'i', 'can', 'help', 'it']",4
109,MRS. MARCH,"Now well save the rest till after tea, for its such a lovely 
long letter.","['now', 'well', 'save', 'the', 'rest', 'till', 'after', 'tea', 'for', 'its', 'such', 'a', 'lovely', 'long', 'letter']",4
110,BETH,Lets_c.,"['lets', 'c']",2
111,JO,"Thats like you, Beth.","['thats', 'like', 'you', 'beth']",2
112,MEG,I shall get her a nice pair of gloves.,"['i', 'shall', 'get', 'her', 'a', 'nice', 'pair', 'of', 'gloves']",4
113,JO,New slippers!,"['new', 'slippers']",2
114,BETH,"Some new handkerchiefs, all hemmed.","['some', 'new', 'handkerchiefs', 'all', 'hemmed']",2
115,AMY,A beautiful little bottle of cologne.,"['a', 'beautiful', 'little', 'bottle', 'of', 'cologne']",2
116,JO,Im finished with Asia.,"['im', 'finished', 'with', 'asia']",2
117,BETH,And heres Europe.,"['and', 'heres', 'europe']",2
118,AMY,Three more stitches and you can have Africa.,"['three', 'more', 'stitches', 'and', 'you', 'can', 'have', 'africa']",2
119,MRS. MARCH,"Not too long stitches, dear.","['not', 'too', 'long', 'stitches', 'dear']",0
120,MEG,"If you pass me the scissors, Ill give you America.","['if', 'you', 'pass', 'me', 'the', 'scissors', 'ill', 'give', 'you', 'america']",2
121,MRS. MARCH,"There, you see, you did finish it after all.","['there', 'you', 'see', 'you', 'did', 'finish', 'it', 'after', 'all']",2
122,BETH,"Oh, but we never should have if Joe hadnt made a game of it, and 
thought of talking of the different countries as we worked.","['oh', 'but', 'we', 'never', 'should', 'have', 'if', 'joe', 'hadnt', 'made', 'a', 'game', 'of', 'it', 'and', 'thought', 'of', 'talking', 'of', 'the', 'different', 'countries', 'as', 'we', 'worked']",4
123,MRS. MARCH,"It was a nice idea, Jo.","['it', 'was', 'a', 'nice', 'idea', 'jo']",4
124,JO,I can see us all now.,"['i', 'can', 'see', 'us', 'all', 'now']",2
125,MRS. MARCH,"You have real burdens now, instead of rag bags, according to what 
I heard before tea.","['you', 'have', 'real', 'burdens', 'now', 'instead', 'of', 'rag', 'bags', 'according', 'to', 'what', 'i', 'heard', 'before', 'tea']",2
126,BETH,"Yes, I have.","['yes', 'i', 'have']",4
127,JO,A piano is a burden.,"['a', 'piano', 'is', 'a', 'burden']",0
128,MRS. MARCH,"Good night, my precious.","['good', 'night', 'my', 'precious']",4
129,MEG,"Good night, Marmee.","['good', 'night', 'marmee']",4
130,MRS. MARCH,"Good night, Joe, my girl.","['good', 'night', 'joe', 'my', 'girl']",4
131,JO,"Good night, Marmee.","['good', 'night', 'marmee']",4
132,AMY,"Good night, darling.","['good', 'night', 'darling']",4
133,MRS. MARCH,"Good night, my baby.","['good', 'night', 'my', 'baby']",4
134,BETH,"Good night, Marmee.","['good', 'night', 'marmee']",4
135,MRS. MARCH,"Good night, Bethy.","['good', 'night', 'bethy']",4
136,JO,"Merry Christmas, Hannah.","['merry', 'christmas', 'hannah']",2
137,HANNAH,"Oh, Merry Christmas.","['oh', 'merry', 'christmas']",2
138,JO,Wheres Marmee?,"['wheres', 'marmee']",2
139,HANNAH,She just went down the street.,"['she', 'just', 'went', 'down', 'the', 'street']",2
140,JO,Come round here.,"['come', 'round', 'here']",2
141,MEG,"Amy, what have you been doing?","['amy', 'what', 'have', 'you', 'been', 'doing']",2
142,AMY,"Dont laugh, Jo.","['dont', 'laugh', 'jo']",0
143,BETH,Amy!,['amy'],2
144,MEG,Darling!,['darling'],2
145,JO,"Youre some pumpkins, Amy.","['youre', 'some', 'pumpkins', 'amy']",0
146,AMY,I felt ashamed thinking only of myself.,"['i', 'felt', 'ashamed', 'thinking', 'only', 'of', 'myself']",0
147,BETH,"Amy, my prettiest rose.","['amy', 'my', 'prettiest', 'rose']",4
148,AMY,"And Im so glad, because mines the handsomest now.","['and', 'im', 'so', 'glad', 'because', 'mines', 'the', 'handsomest', 'now']",4
149,JO,Shell be back any minute.,"['shell', 'be', 'back', 'any', 'minute']",2
150,AMY,"Oh, Hannah.","['oh', 'hannah']",2
151,JO,"Oh, Hannah, what is it?","['oh', 'hannah', 'what', 'is', 'it']",2
152,MEG,Sausages.,['sausages'],2
153,BETH,Popovers.,['popovers'],2
154,AMY,Theyre my favorite!,"['theyre', 'my', 'favorite']",4
155,JO,Coffee!,['coffee'],2
156,HANNAH,You neednt make such a fuss about it.,"['you', 'neednt', 'make', 'such', 'a', 'fuss', 'about', 'it']",0
157,JO,No!,['no'],0
158,AMY,"Oh, Hannah.","['oh', 'hannah']",2
159,JO,I could tell her!,"['i', 'could', 'tell', 'her']",2
160,MEG,Jo!,['jo'],2
161,AMY,Jo!,['jo'],2
162,JO,Two each.,"['two', 'each']",2
163,MEG,Shes coming!,"['shes', 'coming']",2
164,JO,Hurry up!,"['hurry', 'up']",2
165,AMY,Enter Marmee.,"['enter', 'marmee']",2
166,MRS. MARCH,"Merry Christmas, my _c.","['merry', 'christmas', 'my', 'c']",2
167,JO,These are from me.,"['these', 'are', 'from', 'me']",2
168,MRS. MARCH,"Oh, Jo.","['oh', 'jo']",2
169,JO,"Well, I can tell you how hungry I am.","['well', 'i', 'can', 'tell', 'you', 'how', 'hungry', 'i', 'am']",2
170,MRS. MARCH,"Wait a minute, girls.","['wait', 'a', 'minute', 'girls']",2
171,JO,Im so glad you came back before we started.,"['im', 'so', 'glad', 'you', 'came', 'back', 'before', 'we', 'started']",4
172,MRS. MARCH,I knew you would.,"['i', 'knew', 'you', 'would']",2
173,AMY,"May I carry some things, Marmee?","['may', 'i', 'carry', 'some', 'things', 'marmee']",2
174,MRS. MARCH,We should all go.,"['we', 'should', 'all', 'go']",2
175,JO,Ill get some firewood.,"['ill', 'get', 'some', 'firewood']",2
176,MEG,Ill take the greens.,"['ill', 'take', 'the', 'greens']",2
177,BETH,Ill take the bread.,"['ill', 'take', 'the', 'bread']",2
178,AMY,Ill take the pop-overs.,"['ill', 'take', 'the', 'pop', 'overs']",2
179,MRS. MARCH,"Here we are, Mrs. Hummel.","['here', 'we', 'are', 'mrs', 'hummel']",2
180,JO,Funny angels in hoods and mittens.,"['funny', 'angels', 'in', 'hoods', 'and', 'mittens']",2
181,AMY,Strange.,['strange'],0
182,AMY,And why?,"['and', 'why']",2
183,BETH,"Ah, your highness.","['ah', 'your', 'highness']",2
184,JO,Haha.,['haha'],2
185,AMY,Roderigo!,['roderigo'],2
186,JO,And now to carry out my fell design.,"['and', 'now', 'to', 'carry', 'out', 'my', 'fell', 'design']",2
187,AMY,"Well, I told you I wasnt going to make myself_c.","['well', 'i', 'told', 'you', 'i', 'wasnt', 'going', 'to', 'make', 'myself', 'c']",0
188,MEG,Come on.,"['come', 'on']",2
189,JO,"Sh_c

MEG
Come on.","['sh', 'c', 'meg', 'come', 'on']",2
190,AMY,Have pity!,"['have', 'pity']",0
191,JO,"Turn, else you ruin the day you spurn Black Hugos love.","['turn', 'else', 'you', 'ruin', 'the', 'day', 'you', 'spurn', 'black', 'hugos', 'love']",0
192,AMY,Oh me.,"['oh', 'me']",2
193,JO,Zara!,['zara'],2
194,AMY,Roderigo!,['roderigo'],2
195,JO,(Roderigo sings and plays guitar.,"['roderigo', 'sings', 'and', 'plays', 'guitar']",2
196,JO,"Its alright, everyone.","['its', 'alright', 'everyone']",2
197,HANNAH,"Young ladies, will you all please come in to supper.","['young', 'ladies', 'will', 'you', 'all', 'please', 'come', 'in', 'to', 'supper']",2
198,JO,Christopher Columbus!,"['christopher', 'columbus']",2
199,AMY,Is it fairies?,"['is', 'it', 'fairies']",2
200,BETH,Its Santa Claus.,"['its', 'santa', 'claus']",2
201,MEG,Mother did it.,"['mother', 'did', 'it']",4
202,JO,Aunt March had a good fit and sent it.,"['aunt', 'march', 'had', 'a', 'good', 'fit', 'and', 'sent', 'it']",4
203,MRS. MARCH,All wrong.,"['all', 'wrong']",0
204,AMY,"Oh, no.LITTLE 

GIRL
Whos Mr. Laurence?","['oh', 'no', 'little', 'girl', 'whos', 'mr', 'laurence']",0
205,JO,The Laurence boys grandfather.,"['the', 'laurence', 'boys', 'grandfather']",2
206,MRS. MARCH,"He heard what you did about your breakfast and sent me a nice 
note this afternoon saying he hoped I would allow him to express 
his friendly feelings toward my children and send them a few 
trifles in honor of the day.","['he', 'heard', 'what', 'you', 'did', 'about', 'your', 'breakfast', 'and', 'sent', 'me', 'a', 'nice', 'note', 'this', 'afternoon', 'saying', 'he', 'hoped', 'i', 'would', 'allow', 'him', 'to', 'express', 'his', 'friendly', 'feelings', 'toward', 'my', 'children', 'and', 'send', 'them', 'a', 'few', 'trifles', 'in', 'honor', 'of', 'the', 'day']",4
207,JO,The boy put it into his head.,"['the', 'boy', 'put', 'it', 'into', 'his', 'head']",2
208,BETH,"Oh, I wish father were here.","['oh', 'i', 'wish', 'father', 'were', 'here']",2
209,LAURIE,Hello.,['hello'],2
210,JO,How do you do?,"['how', 'do', 'you', 'do']",2
211,LAURIE,"Just a little cold, but Grandfathers made me stop indoors for a 
week.","['just', 'a', 'little', 'cold', 'but', 'grandfathers', 'made', 'me', 'stop', 'indoors', 'for', 'a', 'week']",2
212,JO,"Oh, thats too bad.","['oh', 'thats', 'too', 'bad']",0
213,LAURIE,If they would.,"['if', 'they', 'would']",2
214,JO,Wait.,['wait'],2
215,LAURIE,"How do you do, Miss March?","['how', 'do', 'you', 'do', 'miss', 'march']",2
216,JO,"How do you do, Mr. Laurence?","['how', 'do', 'you', 'do', 'mr', 'laurence']",2
217,LAURIE,Thank you.,"['thank', 'you']",4
218,JO,And _c um _c Beth lent you these until youre will.,"['and', 'c', 'um', 'c', 'beth', 'lent', 'you', 'these', 'until', 'youre', 'will']",2
219,LAURIE,"Well, maybe theyll help to liven things up.","['well', 'maybe', 'theyll', 'help', 'to', 'liven', 'things', 'up']",4
220,JO,Huh?!,['huh'],2
221,LAURIE,Wont you come in?,"['wont', 'you', 'come', 'in']",2
222,JO,"Oh, no.","['oh', 'no']",0
223,LAURIE,"Oh, please.","['oh', 'please']",2
224,JO,Oh?,['oh'],2
225,LAURIE,"How many, please?","['how', 'many', 'please']",2
226,JO,"Two, please.","['two', 'please']",2
227,LAURIE,Oh_c.,"['oh', 'c']",2
228,JO,Im going to Europe.,"['im', 'going', 'to', 'europe']",2
229,LAURIE,Really?,['really'],2
230,JO,I dont know.,"['i', 'dont', 'know']",0
231,LAURIE,No.,['no'],0
232,JO,Nope.,['nope'],0
233,LAURIE,Im not Mr. Laurence.,"['im', 'not', 'mr', 'laurence']",0
234,JO,"Well, Laurie.","['well', 'laurie']",2
235,LAURIE,"Well, its strange after living in schools all my life.","['well', 'its', 'strange', 'after', 'living', 'in', 'schools', 'all', 'my', 'life']",0
236,JO,"Oh, yes!","['oh', 'yes']",4
237,LAURIE,Isnt he a holy terror?,"['isnt', 'he', 'a', 'holy', 'terror']",0
238,JO,"Oh, you oughta see my Aunt March!","['oh', 'you', 'oughta', 'see', 'my', 'aunt', 'march']",2
239,LAURIE,"Oh, its too pretty to eat.","['oh', 'its', 'too', 'pretty', 'to', 'eat']",4
240,JO,And I wish _c.,"['and', 'i', 'wish', 'c']",2
241,LAURIE,Amy?,['amy'],2
242,JO,Yes.,['yes'],4
243,LAURIE,"Why, I often hear you calling to one another.","['why', 'i', 'often', 'hear', 'you', 'calling', 'to', 'one', 'another']",2
244,JO,Well never draw that curtain anymore.,"['well', 'never', 'draw', 'that', 'curtain', 'anymore']",0
245,LAURIE,And would you let me be in a play?,"['and', 'would', 'you', 'let', 'me', 'be', 'in', 'a', 'play']",2
246,JO,"Oh, that was terrible.","['oh', 'that', 'was', 'terrible']",0
247,LAURIE,I could do Laertes.,"['i', 'could', 'do', 'laertes']",2
248,JO,Really?,['really'],2
249,LAURIE,Yes!,['yes'],4
250,JO,Splendid!,['splendid'],4
251,LAURIE,Here.,['here'],2
252,JO,Oh!,['oh'],2
253,LAURIE,"""Say you so.","['say', 'you', 'so']",2
254,JO,"""A hit; what say you?""","['a', 'hit', 'what', 'say', 'you']",2
255,LAURIE,"""A touch.","['a', 'touch']",2
256,MR. LAURENCE,What is this?,"['what', 'is', 'this']",2
257,LAURIE,"""Have at you, now.""","['have', 'at', 'you', 'now']",2
258,JO,Oh?,['oh'],2
259,LAURIE,"Oh, I say.","['oh', 'i', 'say']",2
260,JO,"Oh, no.","['oh', 'no']",0
261,LAURIE,Im sorry.,"['im', 'sorry']",0
262,JO,"Oh, what are you talking about?","['oh', 'what', 'are', 'you', 'talking', 'about']",2
263,JO,"His eyes are kind and I like him, though he does bark at you so.","['his', 'eyes', 'are', 'kind', 'and', 'i', 'like', 'him', 'though', 'he', 'does', 'bark', 'at', 'you', 'so']",2
264,MR. LAURENCE,"Thank you, maam.","['thank', 'you', 'maam']",4
265,JO,"No, sir.","['no', 'sir']",0
266,MR. LAURENCE,But my face will frighten some people.,"['but', 'my', 'face', 'will', 'frighten', 'some', 'people']",0
267,JO,"Oh, I_c.","['oh', 'i', 'c']",2
268,MR. LAURENCE,"And I bark, do I?","['and', 'i', 'bark', 'do', 'i']",2
269,JO,"Oh, no, sir.","['oh', 'no', 'sir']",0
270,MR. LAURENCE,"But with all that you like me, eh?","['but', 'with', 'all', 'that', 'you', 'like', 'me', 'eh']",2
271,JO,"Oh, yes, sir.","['oh', 'yes', 'sir']",4
272,MR. LAURENCE,And I like you.,"['and', 'i', 'like', 'you']",4
273,JO,"Oh, sir.","['oh', 'sir']",2
274,LAURIE,"Grandfather, you should see her fence.","['grandfather', 'you', 'should', 'see', 'her', 'fence']",2
275,JO,"Oh, no.","['oh', 'no']",0
276,LAURIE,"Well, Ill see you home.","['well', 'ill', 'see', 'you', 'home']",2
277,MR. LAURENCE,"Oh, no, no, no.","['oh', 'no', 'no', 'no']",0
278,LAURIE,"Good bye, Jo.","['good', 'bye', 'jo']",4
279,HANNAH,Here they come.,"['here', 'they', 'come']",2
280,MRS. MARCH,"Oh, Amy.","['oh', 'amy']",2
281,BETH,"Oh, Marmee, I wish Laurie hadnt asked me to his party.","['oh', 'marmee', 'i', 'wish', 'laurie', 'hadnt', 'asked', 'me', 'to', 'his', 'party']",0
282,MRS. MARCH,You wouldnt want to hurt his feelings when hes been so kind.,"['you', 'wouldnt', 'want', 'to', 'hurt', 'his', 'feelings', 'when', 'hes', 'been', 'so', 'kind']",2
283,MRS. MARCH,"Jo, you look splendid.","['jo', 'you', 'look', 'splendid']",4
284,JO,"Well, I feel perfectly miserable with 19 hairpins all sticking 
straight into my head.","['well', 'i', 'feel', 'perfectly', 'miserable', 'with', '19', 'hairpins', 'all', 'sticking', 'straight', 'into', 'my', 'head']",0
285,MRS. MARCH,Does the patch show much?,"['does', 'the', 'patch', 'show', 'much']",2
286,MEG,"It does a little, Marmee.","['it', 'does', 'a', 'little', 'marmee']",2
287,JO,"Oh, well, Ive stained them so Im gonna go without.","['oh', 'well', 'ive', 'stained', 'them', 'so', 'im', 'gonna', 'go', 'without']",2
288,MEG,"You wear gloves, or I dont go.","['you', 'wear', 'gloves', 'or', 'i', 'dont', 'go']",0
289,HANNAH,I tried to clean them bit it only made them look worse.,"['i', 'tried', 'to', 'clean', 'them', 'bit', 'it', 'only', 'made', 'them', 'look', 'worse']",0
290,JO,"Oh, here.","['oh', 'here']",2
291,MEG,"Oh, Jo.","['oh', 'jo']",2
292,JO,Well Ill tell you.,"['well', 'ill', 'tell', 'you']",2
293,MEG,All right.,"['all', 'right']",4
294,AMY,"And above everything, dont say ""Christopher Columbus"" and 
disgrace us all.","['and', 'above', 'everything', 'dont', 'say', 'christopher', 'columbus', 'and', 'disgrace', 'us', 'all']",0
295,JO,"Oh, hold you tongue, Miss Baby.","['oh', 'hold', 'you', 'tongue', 'miss', 'baby']",2
296,JO,"No, thank you.","['no', 'thank', 'you']",0
297,AMY,Theres that Kitty Ford.,"['theres', 'that', 'kitty', 'ford']",2
298,BETH,Where?,['where'],2
299,AMY,"There, with the pink dress and the blue sash.","['there', 'with', 'the', 'pink', 'dress', 'and', 'the', 'blue', 'sash']",2
300,BETH,"Oh, that beautiful piano.","['oh', 'that', 'beautiful', 'piano']",4
301,MR. LAURENCE,Um_c Whats this?,"['um', 'c', 'whats', 'this']",2
302,AMY,Mother said we werent to go down with the grown-ups.,"['mother', 'said', 'we', 'werent', 'to', 'go', 'down', 'with', 'the', 'grown', 'ups']",0
303,MR. LAURENCE,But can you see anything from here?,"['but', 'can', 'you', 'see', 'anything', 'from', 'here']",2
