,speaker,text,token
153,BETH,Popovers.,['popovers']
154,AMY,Theyre my favorite!,"['theyre', 'my', 'favorite']"
155,JO,Coffee!,['coffee']
156,HANNAH,You neednt make such a fuss about it.,"['you', 'neednt', 'make', 'such', 'a', 'fuss', 'about', 'it']"
157,JO,No!,['no']
158,AMY,"Oh, Hannah.","['oh', 'hannah']"
159,JO,I could tell her!,"['i', 'could', 'tell', 'her']"
160,MEG,Jo!,['jo']
161,AMY,Jo!,['jo']
162,JO,Two each.,"['two', 'each']"
163,MEG,Shes coming!,"['shes', 'coming']"
164,JO,Hurry up!,"['hurry', 'up']"
165,AMY,Enter Marmee.,"['enter', 'marmee']"
166,MRS. MARCH,"Merry Christmas, my _c.","['merry', 'christmas', 'my', 'c']"
167,JO,These are from me.,"['these', 'are', 'from', 'me']"
168,MRS. MARCH,"Oh, Jo.","['oh', 'jo']"
169,JO,"Well, I can tell you how hungry I am.","['well', 'i', 'can', 'tell', 'you', 'how', 'hungry', 'i', 'am']"
170,MRS. MARCH,"Wait a minute, girls.","['wait', 'a', 'minute', 'girls']"
171,JO,Im so glad you came back before we started.,"['im', 'so', 'glad', 'you', 'came', 'back', 'before', 'we', 'started']"
172,MRS. MARCH,I knew you would.,"['i', 'knew', 'you', 'would']"
173,AMY,"May I carry some things, Marmee?","['may', 'i', 'carry', 'some', 'things', 'marmee']"
174,MRS. MARCH,We should all go.,"['we', 'should', 'all', 'go']"
175,JO,Ill get some firewood.,"['ill', 'get', 'some', 'firewood']"
176,MEG,Ill take the greens.,"['ill', 'take', 'the', 'greens']"
177,BETH,Ill take the bread.,"['ill', 'take', 'the', 'bread']"
178,AMY,Ill take the pop-overs.,"['ill', 'take', 'the', 'pop', 'overs']"
179,MRS. MARCH,"Here we are, Mrs. Hummel.","['here', 'we', 'are', 'mrs', 'hummel']"
180,JO,Funny angels in hoods and mittens.,"['funny', 'angels', 'in', 'hoods', 'and', 'mittens']"
181,AMY,Strange.,['strange']
182,AMY,And why?,"['and', 'why']"
183,BETH,"Ah, your highness.","['ah', 'your', 'highness']"
184,JO,Haha.,['haha']
185,AMY,Roderigo!,['roderigo']
186,JO,And now to carry out my fell design.,"['and', 'now', 'to', 'carry', 'out', 'my', 'fell', 'design']"
187,AMY,"Well, I told you I wasnt going to make myself_c.","['well', 'i', 'told', 'you', 'i', 'wasnt', 'going', 'to', 'make', 'myself', 'c']"
188,MEG,Come on.,"['come', 'on']"
189,JO,"Sh_c

MEG
Come on.","['sh', 'c', 'meg', 'come', 'on']"
190,AMY,Have pity!,"['have', 'pity']"
191,JO,"Turn, else you ruin the day you spurn Black Hugos love.","['turn', 'else', 'you', 'ruin', 'the', 'day', 'you', 'spurn', 'black', 'hugos', 'love']"
192,AMY,Oh me.,"['oh', 'me']"
193,JO,Zara!,['zara']
194,AMY,Roderigo!,['roderigo']
195,JO,(Roderigo sings and plays guitar.,"['roderigo', 'sings', 'and', 'plays', 'guitar']"
196,JO,"Its alright, everyone.","['its', 'alright', 'everyone']"
197,HANNAH,"Young ladies, will you all please come in to supper.","['young', 'ladies', 'will', 'you', 'all', 'please', 'come', 'in', 'to', 'supper']"
198,JO,Christopher Columbus!,"['christopher', 'columbus']"
199,AMY,Is it fairies?,"['is', 'it', 'fairies']"
200,BETH,Its Santa Claus.,"['its', 'santa', 'claus']"
201,MEG,Mother did it.,"['mother', 'did', 'it']"
202,JO,Aunt March had a good fit and sent it.,"['aunt', 'march', 'had', 'a', 'good', 'fit', 'and', 'sent', 'it']"
203,MRS. MARCH,All wrong.,"['all', 'wrong']"
204,AMY,"Oh, no.LITTLE 

GIRL
Whos Mr. Laurence?","['oh', 'no', 'little', 'girl', 'whos', 'mr', 'laurence']"
205,JO,The Laurence boys grandfather.,"['the', 'laurence', 'boys', 'grandfather']"
206,MRS. MARCH,"He heard what you did about your breakfast and sent me a nice 
note this afternoon saying he hoped I would allow him to express 
his friendly feelings toward my children and send them a few 
trifles in honor of the day.","['he', 'heard', 'what', 'you', 'did', 'about', 'your', 'breakfast', 'and', 'sent', 'me', 'a', 'nice', 'note', 'this', 'afternoon', 'saying', 'he', 'hoped', 'i', 'would', 'allow', 'him', 'to', 'express', 'his', 'friendly', 'feelings', 'toward', 'my', 'children', 'and', 'send', 'them', 'a', 'few', 'trifles', 'in', 'honor', 'of', 'the', 'day']"
207,JO,The boy put it into his head.,"['the', 'boy', 'put', 'it', 'into', 'his', 'head']"
208,BETH,"Oh, I wish father were here.","['oh', 'i', 'wish', 'father', 'were', 'here']"
209,LAURIE,Hello.,['hello']
210,JO,How do you do?,"['how', 'do', 'you', 'do']"
211,LAURIE,"Just a little cold, but Grandfathers made me stop indoors for a 
week.","['just', 'a', 'little', 'cold', 'but', 'grandfathers', 'made', 'me', 'stop', 'indoors', 'for', 'a', 'week']"
212,JO,"Oh, thats too bad.","['oh', 'thats', 'too', 'bad']"
213,LAURIE,If they would.,"['if', 'they', 'would']"
214,JO,Wait.,['wait']
215,LAURIE,"How do you do, Miss March?","['how', 'do', 'you', 'do', 'miss', 'march']"
216,JO,"How do you do, Mr. Laurence?","['how', 'do', 'you', 'do', 'mr', 'laurence']"
217,LAURIE,Thank you.,"['thank', 'you']"
218,JO,And _c um _c Beth lent you these until youre will.,"['and', 'c', 'um', 'c', 'beth', 'lent', 'you', 'these', 'until', 'youre', 'will']"
219,LAURIE,"Well, maybe theyll help to liven things up.","['well', 'maybe', 'theyll', 'help', 'to', 'liven', 'things', 'up']"
220,JO,Huh?!,['huh']
221,LAURIE,Wont you come in?,"['wont', 'you', 'come', 'in']"
222,JO,"Oh, no.","['oh', 'no']"
223,LAURIE,"Oh, please.","['oh', 'please']"
224,JO,Oh?,['oh']
225,LAURIE,"How many, please?","['how', 'many', 'please']"
226,JO,"Two, please.","['two', 'please']"
227,LAURIE,Oh_c.,"['oh', 'c']"
228,JO,Im going to Europe.,"['im', 'going', 'to', 'europe']"
229,LAURIE,Really?,['really']
230,JO,I dont know.,"['i', 'dont', 'know']"
231,LAURIE,No.,['no']
232,JO,Nope.,['nope']
233,LAURIE,Im not Mr. Laurence.,"['im', 'not', 'mr', 'laurence']"
234,JO,"Well, Laurie.","['well', 'laurie']"
235,LAURIE,"Well, its strange after living in schools all my life.","['well', 'its', 'strange', 'after', 'living', 'in', 'schools', 'all', 'my', 'life']"
236,JO,"Oh, yes!","['oh', 'yes']"
237,LAURIE,Isnt he a holy terror?,"['isnt', 'he', 'a', 'holy', 'terror']"
238,JO,"Oh, you oughta see my Aunt March!","['oh', 'you', 'oughta', 'see', 'my', 'aunt', 'march']"
239,LAURIE,"Oh, its too pretty to eat.","['oh', 'its', 'too', 'pretty', 'to', 'eat']"
240,JO,And I wish _c.,"['and', 'i', 'wish', 'c']"
241,LAURIE,Amy?,['amy']
242,JO,Yes.,['yes']
243,LAURIE,"Why, I often hear you calling to one another.","['why', 'i', 'often', 'hear', 'you', 'calling', 'to', 'one', 'another']"
244,JO,Well never draw that curtain anymore.,"['well', 'never', 'draw', 'that', 'curtain', 'anymore']"
245,LAURIE,And would you let me be in a play?,"['and', 'would', 'you', 'let', 'me', 'be', 'in', 'a', 'play']"
246,JO,"Oh, that was terrible.","['oh', 'that', 'was', 'terrible']"
247,LAURIE,I could do Laertes.,"['i', 'could', 'do', 'laertes']"
248,JO,Really?,['really']
249,LAURIE,Yes!,['yes']
250,JO,Splendid!,['splendid']
251,LAURIE,Here.,['here']
252,JO,Oh!,['oh']
253,LAURIE,"""Say you so.","['say', 'you', 'so']"
254,JO,"""A hit; what say you?""","['a', 'hit', 'what', 'say', 'you']"
255,LAURIE,"""A touch.","['a', 'touch']"
256,MR. LAURENCE,What is this?,"['what', 'is', 'this']"
257,LAURIE,"""Have at you, now.""","['have', 'at', 'you', 'now']"
258,JO,Oh?,['oh']
259,LAURIE,"Oh, I say.","['oh', 'i', 'say']"
260,JO,"Oh, no.","['oh', 'no']"
261,LAURIE,Im sorry.,"['im', 'sorry']"
262,JO,"Oh, what are you talking about?","['oh', 'what', 'are', 'you', 'talking', 'about']"
263,JO,"His eyes are kind and I like him, though he does bark at you so.","['his', 'eyes', 'are', 'kind', 'and', 'i', 'like', 'him', 'though', 'he', 'does', 'bark', 'at', 'you', 'so']"
264,MR. LAURENCE,"Thank you, maam.","['thank', 'you', 'maam']"
265,JO,"No, sir.","['no', 'sir']"
266,MR. LAURENCE,But my face will frighten some people.,"['but', 'my', 'face', 'will', 'frighten', 'some', 'people']"
267,JO,"Oh, I_c.","['oh', 'i', 'c']"
268,MR. LAURENCE,"And I bark, do I?","['and', 'i', 'bark', 'do', 'i']"
269,JO,"Oh, no, sir.","['oh', 'no', 'sir']"
270,MR. LAURENCE,"But with all that you like me, eh?","['but', 'with', 'all', 'that', 'you', 'like', 'me', 'eh']"
271,JO,"Oh, yes, sir.","['oh', 'yes', 'sir']"
272,MR. LAURENCE,And I like you.,"['and', 'i', 'like', 'you']"
273,JO,"Oh, sir.","['oh', 'sir']"
274,LAURIE,"Grandfather, you should see her fence.","['grandfather', 'you', 'should', 'see', 'her', 'fence']"
275,JO,"Oh, no.","['oh', 'no']"
276,LAURIE,"Well, Ill see you home.","['well', 'ill', 'see', 'you', 'home']"
277,MR. LAURENCE,"Oh, no, no, no.","['oh', 'no', 'no', 'no']"
278,LAURIE,"Good bye, Jo.","['good', 'bye', 'jo']"
279,HANNAH,Here they come.,"['here', 'they', 'come']"
280,MRS. MARCH,"Oh, Amy.","['oh', 'amy']"
281,BETH,"Oh, Marmee, I wish Laurie hadnt asked me to his party.","['oh', 'marmee', 'i', 'wish', 'laurie', 'hadnt', 'asked', 'me', 'to', 'his', 'party']"
282,MRS. MARCH,You wouldnt want to hurt his feelings when hes been so kind.,"['you', 'wouldnt', 'want', 'to', 'hurt', 'his', 'feelings', 'when', 'hes', 'been', 'so', 'kind']"
283,MRS. MARCH,"Jo, you look splendid.","['jo', 'you', 'look', 'splendid']"
284,JO,"Well, I feel perfectly miserable with 19 hairpins all sticking 
straight into my head.","['well', 'i', 'feel', 'perfectly', 'miserable', 'with', '19', 'hairpins', 'all', 'sticking', 'straight', 'into', 'my', 'head']"
285,MRS. MARCH,Does the patch show much?,"['does', 'the', 'patch', 'show', 'much']"
286,MEG,"It does a little, Marmee.","['it', 'does', 'a', 'little', 'marmee']"
287,JO,"Oh, well, Ive stained them so Im gonna go without.","['oh', 'well', 'ive', 'stained', 'them', 'so', 'im', 'gonna', 'go', 'without']"
288,MEG,"You wear gloves, or I dont go.","['you', 'wear', 'gloves', 'or', 'i', 'dont', 'go']"
289,HANNAH,I tried to clean them bit it only made them look worse.,"['i', 'tried', 'to', 'clean', 'them', 'bit', 'it', 'only', 'made', 'them', 'look', 'worse']"
290,JO,"Oh, here.","['oh', 'here']"
291,MEG,"Oh, Jo.","['oh', 'jo']"
292,JO,Well Ill tell you.,"['well', 'ill', 'tell', 'you']"
293,MEG,All right.,"['all', 'right']"
294,AMY,"And above everything, dont say ""Christopher Columbus"" and 
disgrace us all.","['and', 'above', 'everything', 'dont', 'say', 'christopher', 'columbus', 'and', 'disgrace', 'us', 'all']"
295,JO,"Oh, hold you tongue, Miss Baby.","['oh', 'hold', 'you', 'tongue', 'miss', 'baby']"
296,JO,"No, thank you.","['no', 'thank', 'you']"
297,AMY,Theres that Kitty Ford.,"['theres', 'that', 'kitty', 'ford']"
298,BETH,Where?,['where']
299,AMY,"There, with the pink dress and the blue sash.","['there', 'with', 'the', 'pink', 'dress', 'and', 'the', 'blue', 'sash']"
300,BETH,"Oh, that beautiful piano.","['oh', 'that', 'beautiful', 'piano']"
301,MR. LAURENCE,Um_c Whats this?,"['um', 'c', 'whats', 'this']"
302,AMY,Mother said we werent to go down with the grown-ups.,"['mother', 'said', 'we', 'werent', 'to', 'go', 'down', 'with', 'the', 'grown', 'ups']"
303,MR. LAURENCE,But can you see anything from here?,"['but', 'can', 'you', 'see', 'anything', 'from', 'here']"
304,AMY,She just likes to listen to the music.,"['she', 'just', 'likes', 'to', 'listen', 'to', 'the', 'music']"
305,MR. LAURENCE,You just come down with me where its playing.,"['you', 'just', 'come', 'down', 'with', 'me', 'where', 'its', 'playing']"
306,BETH,"Oh, no.","['oh', 'no']"
307,MR. LAURENCE,Why not?,"['why', 'not']"
308,AMY,She has an infirmity.,"['she', 'has', 'an', 'infirmity']"
309,MR. LAURENCE,Mmm?,['mmm']
310,AMY,Shes shy.,"['shes', 'shy']"
311,MR. LAURENCE,"Oh, I see.","['oh', 'i', 'see']"
312,AMY,"If it werent for that, shed be simply fastitidious because she 
plays beautifully.","['if', 'it', 'werent', 'for', 'that', 'shed', 'be', 'simply', 'fastitidious', 'because', 'she', 'plays', 'beautifully']"
